Twitter Shorthand,Meaning
::POOF::,goodbye - leaving the room
<3,heart
1,"one, won"
112,European emergency number
12,the police
143,"I Love You (One Letter, Four Letters, 3 Letters)"
187,police code for murder or death
1AAT,one at a time
2,"to, too, two"
211,police code for robbery
220,second to none
224,"today, tomorrow, forever"
241,two for one
2B,to be
2BH,to be honest
2D4,to die for
2DAY,today
2EZ,too easy
2G4U,too good for you
2L8,too late
2M/2MORO/2MRW,tomorrow
381,"I love you (3 words, 8 letters, 1 meaning)"
4,"for, four"
404,I haven’t a clue (Internet error message - page not found)
411,Information
420,Drugs
4COL,for crying out loud
4E,forever
4GET,forget
4GM,forgive me
4M,forum
4RL?,for real?
4SHO,for sure
4SRS,for serious
4U,for you
4WARD,forward
4WIW,for what it’s worth
4YEO,for your eyes only
50,police (from Hawaii 50)
5150,police code for crazy person on the loose
7DAW,seven days a week
9,parents watching
911,US emergency number
99,parents stopped watching
999,UK emergency number
ADN,any day now
A&F,always and forever/Abercrombie & Fitch
A/W,anyway
A3,"anytime, anywhere, anyplace"
AAB,average at best
AAF,always and forever
AAK,alive and kicking
AAMOF,as a matter of fact
AAP,always a pleasure
AAR,at any rate
AAT,and another thing/at all times
AAWY,and also with you
AAYF,"as always, your friend"
AB,about
ABD,already been done
ABF,all but face
ABH,actual bodily harm
ABP,already been posted
ABS,absolutely
ABT,about
ABT2,about to
ACP,automatic Colt pistol
ADDY,address
ADL,all day long
AEAP,as early as possible
AFAIAC/AFAIC,as far as I am (I’m) concerned
AFAICS,as far as I can see
AFAICT,as far as I can tell
AFAIK,as far as I know
AFAIR,as far as I remember
AFAP,as far as possible
AFC,away from computer
AFF,affirmative
AFK,away from keyboard
AFN,all for now
AFP,away from phone
AFS,"always, forever, and seriously"
AG,aggressive
AGGY,aggitated
AGH,ain’t gonna happen
AGW,all going well
AIGF,all in good fun
AINEC,and it’s not even close
AIO,all-in-one
AISB,as I said before
AISI,as I see it
AITR,adult in the room
AITYD,and I think you do
AIUI,as I understand it
AKTF,always keep the faith
AL,alcohol
ALAP,as late/long/little as possible
ALG,ain't life grand
ALIHAL,at least I have a life
ALOL,actually laughing out loud
ALOTBSOL,always look on the bright side of life
AMA,ask me anything/against medical advice
AMAP,as much/many as possible
AMIIC,ask me if I care
AML,all my love
AMOG,alpha male of group
AMZ,amazing
ANFAWFOS,and now for a word from our sponsor
ANFSCD,and now for something completely different
ANON,unknown person
ANS,answer
ANY1,anyone
AO,adults only
AOB,any other business
AON,all or nothing/as of now
AOS,ahead of schedule
AOT,as opposed to/among other things
AOTA,all of the above
AOW,all out war
APO,authorized personnel only
APU,as per usual
AQAP,as quickly as possible
ARE,acronym-rich environment
ARK,act of random kindness
ASAIC,as soon as I can
ASAP,as soon as possible
ASF,and so forth
ASL,age? sex? location?
ASLP,"ag, sex, location, picture?"
ASN,any second now
ASP,at some point 
ATB,all the best
ATEOTD,at the end of the day
ATF,all time favorite
ATK,attack
ATM,at the moment
ATMO,according to my opinion
ATN,any time now
ATQ,answer the question
ATST,at the same time
ATT,at this time/all the time
ATTT,ain’t that the truth
ATVB,all the very best
ATW,all the way
ATW,at the weekend
ATYS,anything you say
AUP,another useless post/acceptable use policy
AWA,as well as
AWHFY,are we having fun yet?
AWNP,"all work, no play"
AWS,as we speak
AWSM,awesome
AWW,any which way
AYCS,as you can see
AYEC,at your earliest convenience
AYFKMWTS,are you f***ing kidding me with this s***?
AYFR,are you for real?
AYFT,are you free today?
AYK,as you know
AYKM,are you kidding me?
AYL,are you listening?
AYOR,at your own risk
AYPI,and your point is?
AYS,are you serious?
AYSOS,are you stupid or something?
AYT,are you there?
AYW,as you wish
B,be
B/C,because
B/W,between
B2B,back to back
B2W,back to work
B4,before
B4N,bye for now
B8,bait
BAC,back at computer/by any change
BAGL,bust a gut laughing
BAH,bored as hell
BAK,back at keyboard
BAM,below average mentality
BAMN,by any means necessary
BAO,be aware of
BAS,big a** smile
BAU,business as usual
BB,be back/big brother/baby
BBAM,be back after meal
BBB,bugging beyond belief
BBEG,big bag evil guy
BBFL,best buds for life
BBFN,bye bye for now
BBG,best be going
BBIAB,be back in a bit
BBIAF,be back in a few
BBIAM,be back in a minute
BBIAS,be back in a second
BBK,boy better know
BBL,be back later
BBM,Blackberry messaging
BBML,be back much later
BBN,bye bye now/be back never
BBS,be back soon
BBT,be back tomorrow
BBWL,be back way later
BCD,behind closed doors
BCNU,be seeing you
BCOS,because
BD,big deal
BDOML,best day of my life
BEF,best enemies forever/best email friend
BEG,big evil grin
BF,boyfriend/best friend
BF4L,best friends for life
BFA,best friends always
BFAM,brother from another mother
BFD,big f***ing deal
BFF,best friends forever/big fat friend/female
BFF4L,best friends forever for life
BFFAE,best friends forever and ever/for all eternity
BFFE,best friends forever
BFFL,best friends for life
BFFLE,best friend for like ever
BFFLTDDUP,best friends for life till death do us part
BFFN,best friend for now
BFFWB,best friend forever with benefits
BFK,big fat kiss
BFN,bye for now
BFP,bad for pictures/big fat positive (ie pregnant)
BFTP,blast from the past
BFUT,best friends until tomorrow
BFWB,best friend with benefits
BG,big grin
BGD,background
BGF,best girl/guy friend
BH,be happy/bloody hell/big head
BHD,bad hair day
BHH,bless his/her heart
BIAB,back in a bit
BIBO,"beer in, beer out"
BIC,believe it comrade
BICBW,but I could be wrong
BIEH,best I ever had
BIFFL,best Internet friend for life
BIN,buy it now
BION,believe it or not
BIOYIOP,blow it out your I/O port
BISLY,but I still love you
BKA,better know as
BL,belly laughing/bottom line/bad luck
BLD,bad life decision
BLOL,big laugh out loud
BLTN,better late than never
BLUF,bottom line up front
BM4L,best mates for life
BMBO,blow my brains out
BMFE,best mates forever
BMFL,best mates for life
BMG,be my guest
BMGWL,busting my gut with laughter
BML,bless my life
BMOC,big man on campus
BMT,before my time/basic military training
BMUS,"beam me up, Scotty"
BNF,big name fan
BNI,batteries not included
BNIB,brand new in box
BNR,but not really
BOGOF,buy one get one free
BOGSAT,bunch of guys sitting around talking
BOL,best of luck
BOOMM,bored out of my mind
BOS,boyfriend over shoulder
BOT,back on topic
BOTEC,back of the envelope calculation
BOTTS,back on to the subject
BR,best regards
BRB,be right back
BRGDS,best regards
BRH,be right here
BRT,be right there
BSF,but seriously folks
BSOD,blue screen of death (MS Windows)
BSOF,big smile on face
BSOFN,big smile of face now
BST,but seriously though
BSTS,better safe than sorry
BSU,boring status update
BTA,but then again…
BTAIM,be that as it may
BTB,by the by
BTD,bored to death
BTDT,"been there, done that"
BTDTGTTSAWIO,"been there, done that, got the T-shirt and wore it out"
BTE,best time ever
BTGOG,by the grace of God
BTHOM,beats the hell out of me
BTL,between the lines
BTS,be there soon
BTT,bump to top (forum posts)
BTW,by the way
BTWITIAILWU or BTWITIAILWY,"by the way, I think I’m in love with you"
BTY,back to you
BU,backup
BU2M,been up to much?
BV,bad vibe
BWL,bursting with laughter
BWN,between
BWTH,but what the hell
BWTHDIK,but what the heck do I know?
BYAM,between you and me
BYKI,before you know it
BYO,bring your own
BYT,before your time
BTYM,better you than me
C,see
C&G,chuckle and grin
C/D,confirm/deny
CBB,can’t be bothered
CC,carbon copy
CCL,couldn’t care less
CDP,calm down please
CFN,ciao for now
CFV,call for votes
CHK,check
CICO,"coffee in, coffee out"
CIHY,can I help you?
